"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1921/10/01","00:00","1.836","1.589","1.482","0.839","0.851","0.22","-0.015","-0.42","0"
"1921/11/01","00:00","1.744","1.534","1.388","0.757","0.772","0.153","-0.173","-0.511","0"
"1921/12/01","00:00","2.201","1.662","1.455","0.818","0.833","0.208","-0.152","-0.542","0"
"1922/01/01","00:00","1.836","1.567","1.357","0.735","0.747","0.135","-0.191","-0.572","0"
"1922/02/01","00:00","2.171","1.656","1.461","0.842","0.848","0.235","-0.024","-0.45","0"
"1922/03/01","00:00","1.744","1.427","1.311","0.711","0.717","0.12","-0.094","-0.42","0"
"1922/04/01","00:00","1.622","1.351","1.241","0.644","0.65","0.059","-0.207","-0.511","0"
"1922/05/01","00:00","1.775","1.503","1.345","0.735","0.754","0.159","-0.155","-0.572","0"
"1922/06/01","00:00","1.836","1.634","1.418","0.827","0.833","0.245","-0.082","-0.389","0"
"1922/07/01","00:00","1.866","1.686","1.47","0.845","0.857","0.245","-0.072","-0.481","0"
"1922/08/01","00:00","1.805","1.628","1.439","0.808","0.818","0.196","-0.094","-0.359","0"
"1922/09/01","00:00","1.775","1.589","1.464","0.833","0.842","0.223","-0.005","-0.207","0"
"1922/10/01","00:00","1.805","1.549","1.449","0.824","0.83","0.214","-0.042","-0.389","0"
"1922/11/01","00:00","1.836","1.531","1.388","0.763","0.769","0.153","-0.185","-0.572","0"
"1922/12/01","00:00","1.927","1.653","1.449","0.833","0.845","0.241","-0.133","-0.511","0"
"1923/01/01","00:00","1.805","1.567","1.381","0.766","0.778","0.171","-0.149","-0.511","0"
"1923/02/01","00:00","1.775","1.516","1.369","0.766","0.772","0.174","-0.072","-0.389","0"
"1923/03/01","00:00","1.744","1.375","1.281","0.671","0.674","0.068","-0.155","-0.359","0"
"1923/04/01","00:00","1.775","1.473","1.388","0.775","0.781","0.174","-0.066","-0.389","0"
"1923/05/01","00:00","1.866","1.476","1.336","0.717","0.729","0.12","-0.176","-0.664","0"
"1923/06/01","00:00","1.866","1.573","1.378","0.751","0.766","0.153","-0.176","-0.572","0"
"1923/07/01","00:00","1.836","1.616","1.406","0.781","0.79","0.177","-0.167","-0.45","0"
"1923/08/01","00:00","1.714","1.598","1.406","0.787","0.79","0.177","-0.118","-0.389","0"
"1923/09/01","00:00","1.744","1.595","1.464","0.842","0.851","0.238","0.004","-0.207","0"
"1923/10/01","00:00","1.805","1.558","1.461","0.833","0.842","0.223","-0.045","-0.298","0"
"1923/11/01","00:00","1.988","1.631","1.491","0.854","0.866","0.241","-0.097","-0.42","0"
"1923/12/01","00:00","1.958","1.61","1.409","0.76","0.775","0.141","-0.261","-0.847","0"
"1924/01/01","00:00","1.897","1.622","1.412","0.769","0.778","0.147","-0.207","-0.664","0"
"1924/02/01","00:00","1.805","1.549","1.381","0.744","0.751","0.123","-0.143","-0.603","0"
"1924/03/01","00:00","1.805","1.491","1.354","0.72","0.732","0.113","-0.115","-0.389","0"
"1924/04/01","00:00","1.744","1.439","1.339","0.711","0.723","0.107","-0.158","-0.45","0"
"1924/05/01","00:00","1.836","1.488","1.327","0.699","0.708","0.089","-0.246","-0.633","0"
"1924/06/01","00:00","1.897","1.57","1.363","0.757","0.763","0.159","-0.216","-0.694","0"
"1924/07/01","00:00","1.897","1.622","1.406","0.784","0.799","0.19","-0.197","-0.633","0"
"1924/08/01","00:00","1.805","1.564","1.381","0.76","0.769","0.156","-0.155","-0.542","0"
"1924/09/01","00:00","1.805","1.528","1.418","0.799","0.805","0.193","-0.042","-0.298","0"
"1924/10/01","00:00","1.866","1.467","1.388","0.763","0.772","0.153","-0.106","-0.511","0"
"1924/11/01","00:00","1.866","1.479","1.342","0.708","0.72","0.101","-0.249","-0.664","0"
"1924/12/01","00:00","1.866","1.577","1.375","0.732","0.744","0.117","-0.204","-0.755","0"
"1925/01/01","00:00","2.049","1.555","1.333","0.699","0.708","0.083","-0.231","-0.603","0"
"1925/02/01","00:00","1.927","1.583","1.409","0.811","0.821","0.229","-0.054","-0.298","0"
"1925/03/01","00:00","1.653","1.516","1.397","0.805","0.815","0.232","-0.021","-0.359","0"
"1925/04/01","00:00","1.683","1.452","1.354","0.754","0.766","0.181","-0.106","-0.298","0"
"1925/05/01","00:00","1.805","1.57","1.421","0.815","0.83","0.238","-0.091","-0.664","0"
"1925/06/01","00:00","1.897","1.637","1.427","0.805","0.824","0.22","-0.136","-0.633","0"
"1925/07/01","00:00","1.988","1.68","1.445","0.821","0.83","0.214","-0.14","-0.603","0"
"1925/08/01","00:00","1.958","1.65","1.467","0.821","0.833","0.202","-0.14","-0.572","0"
"1925/09/01","00:00","1.866","1.592","1.47","0.83","0.839","0.211","-0.051","-0.389","0"
"1925/10/01","00:00","1.775","1.583","1.5","0.851","0.863","0.229","-0.024","-0.207","0"
"1925/11/01","00:00","1.927","1.592","1.455","0.808","0.827","0.199","-0.164","-0.481","0"
"1925/12/01","00:00","2.079","1.698","1.503","0.857","0.879","0.254","-0.161","-0.511","0"
"1926/01/01","00:00","2.049","1.698","1.5","0.866","0.882","0.263","-0.103","-0.542","0"
"1926/02/01","00:00","2.049","1.665","1.485","0.875","0.882","0.278","-0.005","-0.359","0"
"1926/03/01","00:00","1.775","1.555","1.449","0.845","0.851","0.257","0.016","-0.42","0"
"1926/04/01","00:00","1.805","1.552","1.424","0.818","0.83","0.238","-0.045","-0.268","0"
"1926/05/01","00:00","1.683","1.516","1.357","0.726","0.751","0.144","-0.237","-0.603","0"
"1926/06/01","00:00","1.866","1.625","1.424","0.781","0.799","0.177","-0.249","-0.603","0"
"1926/07/01","00:00","1.897","1.65","1.427","0.784","0.799","0.168","-0.2","-0.633","0"
"1926/08/01","00:00","1.866","1.637","1.43","0.805","0.815","0.202","-0.14","-0.572","0"
"1926/09/01","00:00","1.683","1.534","1.406","0.781","0.793","0.184","-0.121","-0.481","0"
"1926/10/01","00:00","1.805","1.525","1.427","0.799","0.815","0.205","-0.1","-0.42","0"
"1926/11/01","00:00","1.958","1.625","1.494","0.857","0.872","0.254","-0.112","-0.42","0"
"1926/12/01","00:00","1.866","1.595","1.403","0.778","0.799","0.199","-0.222","-0.511","0"
"1927/01/01","00:00","1.927","1.65","1.43","0.799","0.818","0.208","-0.204","-0.572","0"
"1927/02/01","00:00","2.018","1.65","1.467","0.879","0.894","0.324","0.01","-0.542","0"
"1927/03/01","00:00","1.836","1.458","1.33","0.714","0.732","0.135","-0.158","-0.45","0"
"1927/04/01","00:00","1.775","1.476","1.366","0.744","0.76","0.156","-0.127","-0.359","0"
"1927/05/01","00:00","1.775","1.525","1.342","0.699","0.726","0.107","-0.268","-0.694","0"
"1927/06/01","00:00","1.897","1.644","1.421","0.793","0.815","0.208","-0.216","-0.664","0"
"1927/07/01","00:00","1.866","1.656","1.427","0.778","0.805","0.184","-0.222","-0.481","0"
"1927/08/01","00:00","1.927","1.631","1.445","0.818","0.83","0.217","-0.121","-0.389","0"
"1927/09/01","00:00","1.836","1.589","1.445","0.821","0.836","0.223","-0.057","-0.298","0"
"1927/10/01","00:00","1.866","1.577","1.461","0.839","0.86","0.257","-0.082","-0.268","0"
"1927/11/01","00:00","2.171","1.637","1.494","0.854","0.879","0.263","-0.149","-0.542","0"
"1927/12/01","00:00","2.018","1.695","1.5","0.86","0.885","0.266","-0.161","-0.603","0"
"1928/01/01","00:00","1.897","1.634","1.418","0.79","0.802","0.187","-0.185","-0.694","0"
"1928/02/01","00:00","2.171","1.641","1.439","0.824","0.836","0.238","-0.106","-0.45","0"
"1928/03/01","00:00","1.836","1.534","1.394","0.784","0.799","0.208","-0.118","-0.359","0"
"1928/04/01","00:00","1.744","1.494","1.375","0.76","0.784","0.193","-0.124","-0.511","0"
"1928/05/01","00:00","1.927","1.54","1.357","0.744","0.763","0.171","-0.191","-0.603","0"
"1928/06/01","00:00","2.049","1.634","1.4","0.778","0.802","0.208","-0.222","-0.664","0"
"1928/07/01","00:00","1.988","1.686","1.439","0.808","0.833","0.229","-0.21","-0.633","0"
"1928/08/01","00:00","1.958","1.674","1.467","0.842","0.857","0.251","-0.127","-0.389","0"
"1928/09/01","00:00","1.714","1.57","1.433","0.808","0.821","0.211","-0.082","-0.389","0"
"1928/10/01","00:00","1.866","1.561","1.439","0.796","0.815","0.193","-0.152","-0.603","0"
"1928/11/01","00:00","1.988","1.577","1.415","0.772","0.793","0.174","-0.258","-0.725","0"
"1928/12/01","00:00","2.14","1.665","1.458","0.808","0.833","0.211","-0.246","-0.694","0"
"1929/01/01","00:00","1.927","1.674","1.452","0.827","0.845","0.238","-0.136","-0.603","0"
"1929/02/01","00:00","1.775","1.573","1.375","0.754","0.763","0.153","-0.191","-0.603","0"
"1929/03/01","00:00","1.775","1.455","1.299","0.699","0.711","0.126","-0.2","-0.481","0"
"1929/04/01","00:00","1.714","1.458","1.333","0.72","0.744","0.156","-0.204","-0.45","0"
"1929/05/01","00:00","1.836","1.503","1.333","0.726","0.744","0.159","-0.246","-0.664","0"
"1929/06/01","00:00","2.018","1.644","1.412","0.784","0.811","0.211","-0.216","-0.664","0"
"1929/07/01","00:00","2.14","1.72","1.458","0.839","0.854","0.254","-0.161","-0.572","0"
"1929/08/01","00:00","1.927","1.665","1.442","0.811","0.83","0.22","-0.188","-0.664","0"
"1929/09/01","00:00","1.866","1.65","1.5","0.866","0.882","0.263","-0.072","-0.542","0"
"1929/10/01","00:00","1.805","1.555","1.445","0.808","0.824","0.205","-0.118","-0.328","0"
"1929/11/01","00:00","1.897","1.598","1.427","0.79","0.811","0.199","-0.222","-0.603","0"
"1929/12/01","00:00","1.988","1.628","1.406","0.772","0.802","0.199","-0.286","-0.816","0"
"1930/01/01","00:00","2.14","1.705","1.476","0.86","0.882","0.287","-0.152","-0.603","0"
"1930/02/01","00:00","1.927","1.641","1.442","0.833","0.845","0.251","-0.115","-0.664","0"
"1930/03/01","00:00","1.988","1.573","1.439","0.851","0.86","0.284","0.001","-0.481","0"
"1930/04/01","00:00","1.836","1.531","1.381","0.778","0.796","0.214","-0.136","-0.359","0"
"1930/05/01","00:00","1.897","1.586","1.381","0.76","0.787","0.193","-0.246","-0.572","0"
"1930/06/01","00:00","1.897","1.662","1.424","0.796","0.818","0.214","-0.243","-0.725","0"
"1930/07/01","00:00","2.018","1.701","1.464","0.83","0.845","0.229","-0.188","-0.633","0"
"1930/08/01","00:00","1.958","1.695","1.473","0.854","0.869","0.269","-0.118","-0.481","0"
"1930/09/01","00:00","1.836","1.659","1.516","0.894","0.912","0.312","-0.039","-0.298","0"
"1930/10/01","00:00","1.805","1.604","1.485","0.875","0.891","0.299","-0.072","-0.359","0"
"1930/11/01","00:00","1.927","1.662","1.482","0.866","0.885","0.29","-0.121","-0.542","0"
"1930/12/01","00:00","1.988","1.701","1.473","0.845","0.869","0.269","-0.152","-0.511","0"
"1931/01/01","00:00","2.018","1.701","1.467","0.842","0.866","0.266","-0.176","-0.572","0"
"1931/02/01","00:00","2.079","1.692","1.488","0.869","0.885","0.281","-0.072","-0.511","0"
"1931/03/01","00:00","1.775","1.522","1.366","0.735","0.757","0.15","-0.204","-0.603","0"
"1931/04/01","00:00","1.744","1.528","1.388","0.76","0.775","0.162","-0.173","-0.42","0"
"1931/05/01","00:00","1.897","1.647","1.433","0.796","0.821","0.208","-0.213","-0.542","0"
"1931/06/01","00:00","1.897","1.668","1.427","0.796","0.827","0.226","-0.252","-0.633","0"
"1931/07/01","00:00","1.927","1.714","1.464","0.836","0.863","0.263","-0.194","-0.572","0"
"1931/08/01","00:00","1.927","1.644","1.442","0.83","0.845","0.248","-0.124","-0.481","0"
"1931/09/01","00:00","1.805","1.592","1.43","0.83","0.839","0.248","-0.075","-0.42","0"
"1931/10/01","00:00","1.866","1.555","1.409","0.799","0.815","0.22","-0.167","-0.42","0"
"1931/11/01","00:00","1.958","1.583","1.406","0.775","0.799","0.196","-0.264","-0.603","0"
"1931/12/01","00:00","1.988","1.662","1.445","0.815","0.839","0.232","-0.21","-0.633","0"
"1932/01/01","00:00","1.866","1.665","1.409","0.79","0.802","0.199","-0.191","-0.633","0"
"1932/02/01","00:00","1.927","1.659","1.452","0.842","0.86","0.269","-0.097","-0.481","0"
"1932/03/01","00:00","1.683","1.509","1.351","0.744","0.763","0.171","-0.182","-0.45","0"
"1932/04/01","00:00","1.927","1.534","1.394","0.781","0.796","0.202","-0.158","-0.572","0"
"1932/05/01","00:00","2.049","1.622","1.421","0.821","0.842","0.266","-0.124","-0.664","0"
"1932/06/01","00:00","1.958","1.659","1.418","0.811","0.839","0.263","-0.197","-0.755","0"
"1932/07/01","00:00","1.958","1.701","1.461","0.848","0.872","0.287","-0.17","-0.572","0"
"1932/08/01","00:00","1.927","1.723","1.509","0.885","0.903","0.299","-0.079","-0.359","0"
"1932/09/01","00:00","1.866","1.689","1.546","0.93","0.943","0.339","0.031","-0.268","0"
"1932/10/01","00:00","1.958","1.619","1.473","0.839","0.86","0.245","-0.124","-0.542","0"
"1932/11/01","00:00","2.11","1.613","1.427","0.787","0.815","0.202","-0.258","-0.603","0"
"1932/12/01","00:00","1.927","1.659","1.43","0.787","0.815","0.199","-0.258","-0.877","0"
"1933/01/01","00:00","2.079","1.647","1.412","0.79","0.805","0.202","-0.188","-0.603","0"
"1933/02/01","00:00","1.714","1.528","1.32","0.702","0.714","0.11","-0.234","-0.603","0"
"1933/03/01","00:00","1.897","1.525","1.357","0.751","0.772","0.187","-0.143","-0.389","0"
"1933/04/01","00:00","1.805","1.503","1.354","0.747","0.772","0.193","-0.188","-0.511","0"
"1933/05/01","00:00","1.897","1.497","1.308","0.699","0.723","0.138","-0.295","-0.725","0"
"1933/06/01","00:00","1.988","1.628","1.384","0.775","0.793","0.202","-0.225","-0.755","0"
"1933/07/01","00:00","2.079","1.726","1.458","0.839","0.857","0.257","-0.146","-0.664","0"
"1933/08/01","00:00","1.958","1.686","1.455","0.833","0.848","0.241","-0.155","-0.572","0"
"1933/09/01","00:00","1.836","1.607","1.452","0.824","0.839","0.226","-0.106","-0.359","0"
"1933/10/01","00:00","1.897","1.54","1.409","0.778","0.793","0.177","-0.158","-0.542","0"
"1933/11/01","00:00","1.927","1.58","1.394","0.757","0.781","0.168","-0.274","-0.725","0"
"1933/12/01","00:00","2.049","1.674","1.439","0.811","0.83","0.22","-0.258","-0.877","0"
"1934/01/01","00:00","1.988","1.634","1.403","0.781","0.805","0.208","-0.216","-0.725","0"
"1934/02/01","00:00","1.866","1.634","1.436","0.833","0.848","0.257","-0.085","-0.603","0"
"1934/03/01","00:00","1.714","1.54","1.397","0.796","0.805","0.211","-0.075","-0.359","0"
"1934/04/01","00:00","1.744","1.537","1.369","0.757","0.775","0.184","-0.173","-0.45","0"
"1934/05/01","00:00","1.958","1.637","1.409","0.784","0.808","0.208","-0.228","-0.603","0"
"1934/06/01","00:00","1.958","1.68","1.433","0.802","0.821","0.208","-0.231","-0.755","0"
"1934/07/01","00:00","1.958","1.689","1.449","0.815","0.83","0.208","-0.161","-0.694","0"
"1934/08/01","00:00","1.897","1.659","1.436","0.83","0.836","0.235","-0.115","-0.42","0"
"1934/09/01","00:00","1.805","1.637","1.485","0.875","0.891","0.299","-0.039","-0.207","0"
"1934/10/01","00:00","1.744","1.54","1.418","0.808","0.824","0.229","-0.127","-0.511","0"
"1934/11/01","00:00","1.958","1.628","1.445","0.824","0.842","0.238","-0.167","-0.45","0"
"1934/12/01","00:00","2.018","1.665","1.433","0.811","0.83","0.226","-0.191","-0.542","0"
"1935/01/01","00:00","2.262","1.723","1.482","0.869","0.891","0.296","-0.109","-0.542","0"
"1935/02/01","00:00","1.958","1.619","1.421","0.818","0.827","0.232","-0.094","-0.572","0"
"1935/03/01","00:00","1.927","1.577","1.421","0.808","0.824","0.223","-0.091","-0.328","0"
"1935/04/01","00:00","1.897","1.58","1.43","0.827","0.845","0.26","-0.045","-0.359","0"
"1935/05/01","00:00","1.836","1.644","1.421","0.808","0.83","0.241","-0.161","-0.511","0"
"1935/06/01","00:00","1.897","1.683","1.436","0.824","0.854","0.269","-0.167","-0.542","0"
"1935/07/01","00:00","1.958","1.714","1.464","0.842","0.863","0.263","-0.146","-0.481","0"
"1935/08/01","00:00","1.958","1.708","1.513","0.885","0.906","0.299","-0.018","-0.359","0"
"1935/09/01","00:00","1.805","1.625","1.476","0.851","0.869","0.263","-0.008","-0.328","0"
"1935/10/01","00:00","1.988","1.619","1.473","0.848","0.866","0.257","-0.094","-0.359","0"
"1935/11/01","00:00","1.927","1.607","1.424","0.787","0.811","0.196","-0.234","-0.603","0"
"1935/12/01","00:00","1.988","1.708","1.494","0.851","0.872","0.248","-0.17","-0.572","0"
"1936/01/01","00:00","1.866","1.665","1.421","0.799","0.818","0.214","-0.152","-0.572","0"
"1936/02/01","00:00","1.927","1.717","1.516","0.918","0.927","0.342","0.034","-0.328","0"
"1936/03/01","00:00","1.744","1.546","1.403","0.805","0.824","0.241","-0.051","-0.481","0"
"1936/04/01","00:00","1.958","1.488","1.351","0.738","0.757","0.162","-0.158","-0.45","0"
"1936/05/01","00:00","1.866","1.613","1.412","0.802","0.821","0.229","-0.13","-0.664","0"
"1936/06/01","00:00","1.866","1.653","1.412","0.805","0.833","0.254","-0.164","-0.603","0"
"1936/07/01","00:00","1.927","1.705","1.458","0.839","0.863","0.269","-0.143","-0.481","0"
"1936/08/01","00:00","1.897","1.708","1.506","0.875","0.888","0.269","-0.054","-0.359","0"
"1936/09/01","00:00","1.836","1.647","1.522","0.888","0.9","0.278","0.025","-0.146","0"
"1936/10/01","00:00","2.079","1.662","1.522","0.872","0.885","0.248","-0.072","-0.481","0"
"1936/11/01","00:00","2.079","1.671","1.488","0.836","0.86","0.229","-0.185","-0.603","0"
"1936/12/01","00:00","2.232","1.717","1.5","0.842","0.863","0.226","-0.191","-0.511","0"
"1937/01/01","00:00","1.897","1.644","1.424","0.787","0.808","0.19","-0.146","-0.603","0"
"1937/02/01","00:00","1.958","1.683","1.488","0.869","0.875","0.263","-0.011","-0.359","0"
"1937/03/01","00:00","1.958","1.586","1.439","0.854","0.863","0.284","0.019","-0.176","0"
"1937/04/01","00:00","1.805","1.476","1.327","0.729","0.754","0.177","-0.14","-0.45","0"
"1937/05/01","00:00","1.866","1.586","1.406","0.802","0.827","0.245","-0.133","-0.694","0"
"1937/06/01","00:00","1.988","1.65","1.427","0.815","0.83","0.232","-0.136","-0.572","0"
"1937/07/01","00:00","2.11","1.747","1.503","0.879","0.894","0.281","-0.079","-0.45","0"
"1937/08/01","00:00","1.897","1.698","1.491","0.86","0.872","0.254","-0.063","-0.42","0"
"1937/09/01","00:00","1.836","1.616","1.485","0.86","0.869","0.254","-0.011","-0.176","0"
"1937/10/01","00:00","1.958","1.595","1.479","0.845","0.857","0.235","-0.042","-0.328","0"
"1937/11/01","00:00","2.018","1.65","1.479","0.842","0.863","0.245","-0.127","-0.572","0"
"1937/12/01","00:00","2.079","1.756","1.546","0.924","0.949","0.351","-0.045","-0.511","0"
"1938/01/01","00:00","2.14","1.689","1.482","0.86","0.875","0.266","-0.094","-0.511","0"
"1938/02/01","00:00","2.14","1.698","1.525","0.964","0.982","0.44","0.187","-0.176","0"
"1938/03/01","00:00","2.018","1.58","1.461","0.888","0.903","0.345","0.123","-0.146","0"
"1938/04/01","00:00","1.836","1.522","1.372","0.787","0.802","0.235","-0.054","-0.268","0"
"1938/05/01","00:00","1.897","1.604","1.406","0.805","0.827","0.251","-0.118","-0.572","0"
"1938/06/01","00:00","2.079","1.717","1.488","0.863","0.894","0.296","-0.082","-0.481","0"
"1938/07/01","00:00","2.079","1.723","1.509","0.869","0.882","0.254","-0.097","-0.45","0"
"1938/08/01","00:00","1.897","1.671","1.476","0.848","0.86","0.245","-0.024","-0.359","0"
"1938/09/01","00:00","1.714","1.592","1.461","0.839","0.851","0.245","-0.011","-0.207","0"
"1938/10/01","00:00","1.775","1.54","1.442","0.83","0.842","0.241","-0.051","-0.237","0"
"1938/11/01","00:00","1.805","1.561","1.397","0.772","0.79","0.184","-0.167","-0.481","0"
"1938/12/01","00:00","1.927","1.668","1.452","0.821","0.836","0.22","-0.143","-0.572","0"
"1939/01/01","00:00","2.201","1.647","1.427","0.79","0.805","0.187","-0.146","-0.572","0"
"1939/02/01","00:00","1.958","1.494","1.314","0.68","0.69","0.065","-0.204","-0.542","0"
"1939/03/01","00:00","1.714","1.452","1.327","0.696","0.705","0.083","-0.173","-0.481","0"
"1939/04/01","00:00","1.683","1.476","1.348","0.717","0.726","0.107","-0.158","-0.359","0"
"1939/05/01","00:00","1.836","1.58","1.384","0.741","0.757","0.126","-0.207","-0.481","0"
"1939/06/01","00:00","1.805","1.631","1.406","0.763","0.781","0.156","-0.207","-0.633","0"
"1939/07/01","00:00","1.866","1.65","1.427","0.796","0.802","0.177","-0.158","-0.542","0"
"1939/08/01","00:00","1.927","1.662","1.482","0.86","0.863","0.245","-0.033","-0.389","0"
"1939/09/01","00:00","1.897","1.668","1.543","0.927","0.927","0.312","0.104","-0.146","0"
"1939/10/01","00:00","1.866","1.616","1.5","0.866","0.879","0.254","-0.027","-0.237","0"
"1939/11/01","00:00","1.988","1.701","1.543","0.903","0.903","0.26","-0.085","-0.359","0"
"1939/12/01","00:00","2.262","1.698","1.503","0.848","0.86","0.214","-0.158","-0.481","0"
"1940/01/01","00:00","2.11","1.772","1.561","0.936","0.946","0.327","0.028","-0.328","0"
"1940/02/01","00:00","2.14","1.723","1.543","0.93","0.939","0.336","0.077","-0.268","0"
"1940/03/01","00:00","1.866","1.601","1.476","0.891","0.9","0.324","0.098","-0.237","0"
"1940/04/01","00:00","1.836","1.494","1.384","0.802","0.818","0.254","-0.008","-0.42","0"
"1940/05/01","00:00","1.988","1.573","1.4","0.793","0.805","0.211","-0.085","-0.42","0"
"1940/06/01","00:00","1.897","1.662","1.449","0.833","0.836","0.223","-0.112","-0.45","0"
"1940/07/01","00:00","1.897","1.692","1.467","0.836","0.845","0.223","-0.091","-0.389","0"
"1940/08/01","00:00","1.836","1.692","1.509","0.869","0.879","0.245","-0.039","-0.359","0"
"1940/09/01","00:00","1.805","1.659","1.552","0.909","0.921","0.287","0.077","-0.237","0"
"1940/10/01","00:00","1.866","1.625","1.525","0.866","0.879","0.232","-0.027","-0.481","0"
"1940/11/01","00:00","2.049","1.677","1.519","0.86","0.879","0.235","-0.109","-0.45","0"
"1940/12/01","00:00","2.384","1.887","1.695","1.04","1.055","0.415","0.056","-0.45","0"
"1941/01/01","00:00","2.11","1.833","1.647","1.043","1.061","0.476","0.184","-0.207","0"
"1941/02/01","00:00","2.323","1.857","1.689","1.107","1.116","0.543","0.299","-0.146","0"
"1941/03/01","00:00","2.018","1.769","1.644","1.055","1.074","0.501","0.299","-0.054","0"
"1941/04/01","00:00","1.958","1.619","1.491","0.897","0.918","0.345","0.086","-0.268","0"
"1941/05/01","00:00","2.14","1.622","1.458","0.848","0.869","0.281","-0.042","-0.328","0"
"1941/06/01","00:00","1.866","1.622","1.421","0.808","0.818","0.211","-0.127","-0.603","0"
"1941/07/01","00:00","1.988","1.75","1.531","0.9","0.906","0.281","-0.011","-0.45","0"
"1941/08/01","00:00","1.897","1.695","1.503","0.872","0.879","0.257","-0.024","-0.359","0"
"1941/09/01","00:00","1.805","1.683","1.567","0.93","0.939","0.312","0.077","-0.176","0"
"1941/10/01","00:00","1.958","1.65","1.558","0.915","0.927","0.293","0.053","-0.268","0"
"1941/11/01","00:00","2.079","1.717","1.57","0.93","0.946","0.318","0.001","-0.511","0"
"1941/12/01","00:00","2.323","1.839","1.641","1","1.019","0.394","0.034","-0.481","0"
"1942/01/01","00:00","2.049","1.756","1.549","0.939","0.955","0.36","0.022","-0.481","0"
"1942/02/01","00:00","1.927","1.701","1.534","0.973","0.985","0.437","0.184","-0.268","0"
"1942/03/01","00:00","2.049","1.531","1.424","0.808","0.815","0.205","-0.018","-0.237","0"
"1942/04/01","00:00","1.927","1.61","1.5","0.882","0.897","0.29","0.062","-0.176","0"
"1942/05/01","00:00","1.866","1.573","1.397","0.775","0.787","0.174","-0.158","-0.603","0"
"1942/06/01","00:00","1.988","1.634","1.424","0.787","0.811","0.196","-0.173","-0.572","0"
"1942/07/01","00:00","2.049","1.705","1.5","0.851","0.863","0.226","-0.112","-0.481","0"
"1942/08/01","00:00","1.927","1.674","1.491","0.848","0.86","0.232","-0.033","-0.328","0"
"1942/09/01","00:00","1.775","1.622","1.497","0.875","0.882","0.266","0.034","-0.237","0"
"1942/10/01","00:00","1.744","1.54","1.455","0.842","0.854","0.254","-0.027","-0.237","0"
"1942/11/01","00:00","1.836","1.583","1.442","0.815","0.824","0.205","-0.136","-0.45","0"
"1942/12/01","00:00","1.958","1.61","1.415","0.787","0.799","0.181","-0.179","-0.664","0"
"1943/01/01","00:00","2.079","1.717","1.497","0.891","0.897","0.299","-0.03","-0.633","0"
"1943/02/01","00:00","1.958","1.656","1.476","0.86","0.872","0.272","-0.011","-0.572","0"
"1943/03/01","00:00","1.958","1.58","1.455","0.854","0.86","0.269","0.025","-0.268","0"
"1943/04/01","00:00","1.775","1.5","1.4","0.79","0.796","0.193","-0.063","-0.359","0"
"1943/05/01","00:00","1.805","1.573","1.409","0.79","0.799","0.193","-0.112","-0.511","0"
"1943/06/01","00:00","1.988","1.674","1.461","0.839","0.857","0.254","-0.109","-0.572","0"
"1943/07/01","00:00","2.049","1.711","1.494","0.857","0.875","0.257","-0.1","-0.511","0"
"1943/08/01","00:00","1.988","1.653","1.47","0.848","0.854","0.238","-0.072","-0.45","0"
"1943/09/01","00:00","1.805","1.628","1.516","0.897","0.903","0.287","0.062","-0.359","0"
"1943/10/01","00:00","1.775","1.61","1.506","0.875","0.885","0.266","-0.002","-0.237","0"
"1943/11/01","00:00","1.897","1.641","1.485","0.848","0.86","0.238","-0.127","-0.42","0"
"1943/12/01","00:00","2.079","1.708","1.525","0.872","0.885","0.248","-0.161","-0.511","0"
"1944/01/01","00:00","2.018","1.659","1.458","0.824","0.836","0.211","-0.127","-0.664","0"
"1944/02/01","00:00","2.049","1.662","1.476","0.851","0.854","0.235","-0.051","-0.359","0"
"1944/03/01","00:00","1.775","1.546","1.415","0.805","0.808","0.202","-0.057","-0.45","0"
"1944/04/01","00:00","1.744","1.473","1.369","0.744","0.757","0.144","-0.161","-0.42","0"
"1944/05/01","00:00","1.897","1.583","1.418","0.805","0.818","0.217","-0.121","-0.42","0"
"1944/06/01","00:00","1.897","1.647","1.439","0.821","0.836","0.232","-0.124","-0.42","0"
"1944/07/01","00:00","1.988","1.741","1.509","0.875","0.903","0.293","-0.048","-0.45","0"
"1944/08/01","00:00","1.958","1.683","1.482","0.836","0.854","0.226","-0.118","-0.481","0"
"1944/09/01","00:00","1.897","1.659","1.525","0.888","0.894","0.263","-0.011","-0.389","0"
"1944/10/01","00:00","1.958","1.592","1.497","0.842","0.854","0.208","-0.057","-0.237","0"
"1944/11/01","00:00","2.018","1.68","1.519","0.866","0.885","0.251","-0.118","-0.42","0"
"1944/12/01","00:00","2.11","1.717","1.513","0.86","0.879","0.241","-0.197","-0.481","0"
"1945/01/01","00:00","1.897","1.668","1.467","0.83","0.845","0.226","-0.149","-0.511","0"
"1945/02/01","00:00","1.805","1.607","1.415","0.811","0.827","0.235","-0.066","-0.481","0"
"1945/03/01","00:00","1.775","1.482","1.363","0.757","0.763","0.162","-0.085","-0.42","0"
"1945/04/01","00:00","1.653","1.424","1.302","0.705","0.711","0.12","-0.191","-0.542","0"
"1945/05/01","00:00","1.958","1.543","1.372","0.754","0.778","0.181","-0.197","-0.481","0"
