"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1903/11/01","00:00","1.866","1.564","1.409","0.763","0.781","0.156","-0.2","-0.481","0"
"1903/12/01","00:00","1.897","1.589","1.397","0.766","0.778","0.159","-0.228","-0.511","0"
"1904/01/01","00:00","1.866","1.531","1.342","0.699","0.711","0.083","-0.24","-0.694","0"
"1904/02/01","00:00","1.836","1.558","1.406","0.775","0.784","0.162","-0.146","-0.572","0"
"1904/03/01","00:00","1.683","1.503","1.406","0.842","0.848","0.29","0.101","-0.42","0"
"1904/04/01","00:00","1.744","1.473","1.369","0.772","0.787","0.208","-0.024","-0.359","0"
"1904/05/01","00:00","1.836","1.546","1.394","0.778","0.799","0.205","-0.094","-0.45","0"
"1904/06/01","00:00","1.866","1.61","1.4","0.79","0.808","0.22","-0.118","-0.45","0"
"1904/07/01","00:00","1.866","1.653","1.433","0.818","0.833","0.232","-0.121","-0.481","0"
"1904/08/01","00:00","1.866","1.634","1.436","0.83","0.836","0.238","-0.042","-0.328","0"
"1904/09/01","00:00","1.836","1.622","1.476","0.906","0.912","0.348","0.132","-0.176","0"
"1904/10/01","00:00","1.958","1.57","1.467","0.851","0.866","0.269","0.013","-0.207","0"
"1904/11/01","00:00","1.805","1.634","1.485","0.836","0.854","0.223","-0.118","-0.42","0"
"1904/12/01","00:00","2.049","1.653","1.455","0.796","0.815","0.174","-0.219","-0.511","0"
"1905/01/01","00:00","1.958","1.692","1.488","0.845","0.854","0.22","-0.124","-0.45","0"
"1905/02/01","00:00","2.018","1.695","1.549","0.936","0.949","0.345","0.062","-0.237","0"
"1905/03/01","00:00","1.805","1.622","1.5","0.872","0.885","0.269","0.034","-0.298","0"
"1905/04/01","00:00","1.927","1.537","1.421","0.799","0.808","0.196","-0.054","-0.359","0"
"1905/05/01","00:00","1.897","1.54","1.381","0.76","0.775","0.165","-0.176","-0.572","0"
"1905/06/01","00:00","1.897","1.558","1.354","0.735","0.751","0.147","-0.216","-0.481","0"
"1905/07/01","00:00","1.897","1.644","1.433","0.802","0.824","0.214","-0.155","-0.511","0"
"1905/08/01","00:00","1.805","1.601","1.43","0.808","0.821","0.214","-0.072","-0.359","0"
"1905/09/01","00:00","1.775","1.54","1.433","0.811","0.824","0.214","0.001","-0.207","0"
"1905/10/01","00:00","1.866","1.509","1.436","0.799","0.811","0.184","-0.048","-0.389","0"
"1905/11/01","00:00","2.049","1.613","1.482","0.842","0.86","0.238","-0.1","-0.633","0"
"1905/12/01","00:00","1.897","1.625","1.412","0.757","0.778","0.144","-0.234","-0.664","0"
"1906/01/01","00:00","1.927","1.683","1.458","0.818","0.83","0.199","-0.17","-0.42","0"
"1906/02/01","00:00","1.897","1.686","1.491","0.872","0.885","0.281","-0.027","-0.298","0"
"1906/03/01","00:00","1.988","1.631","1.479","0.888","0.9","0.318","0.068","-0.268","0"
"1906/04/01","00:00","1.683","1.476","1.363","0.772","0.787","0.211","-0.069","-0.42","0"
"1906/05/01","00:00","1.866","1.534","1.36","0.741","0.766","0.168","-0.17","-0.481","0"
"1906/06/01","00:00","1.897","1.592","1.378","0.754","0.784","0.187","-0.204","-0.633","0"
"1906/07/01","00:00","1.927","1.65","1.43","0.811","0.833","0.235","-0.136","-0.572","0"
"1906/08/01","00:00","1.927","1.662","1.479","0.851","0.866","0.254","-0.066","-0.45","0"
"1906/09/01","00:00","1.714","1.54","1.424","0.799","0.811","0.202","-0.057","-0.359","0"
"1906/10/01","00:00","1.653","1.449","1.372","0.741","0.757","0.144","-0.13","-0.511","0"
"1906/11/01","00:00","1.805","1.479","1.339","0.696","0.714","0.092","-0.274","-0.755","0"
"1906/12/01","00:00","1.958","1.634","1.43","0.784","0.805","0.181","-0.231","-0.725","0"
"1907/01/01","00:00","2.171","1.683","1.47","0.848","0.866","0.266","-0.097","-0.481","0"
"1907/02/01","00:00","1.927","1.595","1.412","0.824","0.836","0.263","-0.015","-0.45","0"
"1907/03/01","00:00","1.836","1.57","1.482","0.903","0.921","0.363","0.138","-0.359","0"
"1907/04/01","00:00","1.805","1.482","1.384","0.808","0.83","0.272","0.016","-0.389","0"
"1907/05/01","00:00","1.988","1.509","1.369","0.766","0.787","0.202","-0.13","-0.481","0"
"1907/06/01","00:00","1.988","1.631","1.421","0.796","0.824","0.226","-0.14","-0.603","0"
"1907/07/01","00:00","2.018","1.689","1.458","0.833","0.851","0.248","-0.121","-0.542","0"
"1907/08/01","00:00","1.958","1.683","1.485","0.857","0.872","0.263","-0.088","-0.389","0"
"1907/09/01","00:00","1.744","1.58","1.442","0.827","0.839","0.238","-0.051","-0.298","0"
"1907/10/01","00:00","1.714","1.561","1.464","0.836","0.854","0.245","-0.063","-0.207","0"
"1907/11/01","00:00","1.866","1.537","1.391","0.747","0.772","0.153","-0.234","-0.42","0"
"1907/12/01","00:00","2.11","1.616","1.406","0.763","0.787","0.165","-0.258","-0.572","0"
"1908/01/01","00:00","2.049","1.671","1.461","0.821","0.836","0.211","-0.173","-0.755","0"
"1908/02/01","00:00","2.262","1.555","1.394","0.763","0.775","0.153","-0.167","-0.481","0"
"1908/03/01","00:00","1.805","1.442","1.342","0.72","0.732","0.123","-0.149","-0.511","0"
"1908/04/01","00:00","1.714","1.445","1.339","0.711","0.729","0.12","-0.179","-0.45","0"
"1908/05/01","00:00","1.744","1.421","1.275","0.653","0.671","0.071","-0.295","-0.633","0"
"1908/06/01","00:00","1.836","1.543","1.327","0.705","0.726","0.126","-0.274","-0.603","0"
"1908/07/01","00:00","1.958","1.659","1.421","0.79","0.811","0.202","-0.182","-0.633","0"
"1908/08/01","00:00","1.927","1.631","1.418","0.793","0.805","0.193","-0.155","-0.572","0"
"1908/09/01","00:00","1.775","1.57","1.43","0.802","0.815","0.199","-0.106","-0.511","0"
"1908/10/01","00:00","1.714","1.494","1.384","0.747","0.769","0.153","-0.179","-0.328","0"
"1908/11/01","00:00","1.836","1.543","1.384","0.735","0.757","0.129","-0.271","-0.633","0"
"1908/12/01","00:00","1.866","1.598","1.384","0.729","0.754","0.123","-0.335","-0.694","0"
"1909/01/01","00:00","2.171","1.744","1.525","0.906","0.933","0.342","-0.066","-0.42","0"
"1909/02/01","00:00","1.958","1.619","1.433","0.857","0.882","0.327","0.007","-0.572","0"
"1909/03/01","00:00","1.744","1.488","1.354","0.751","0.766","0.181","-0.124","-0.481","0"
"1909/04/01","00:00","1.683","1.452","1.33","0.708","0.729","0.126","-0.2","-0.511","0"
"1909/05/01","00:00","1.775","1.5","1.327","0.714","0.738","0.15","-0.243","-0.572","0"
"1909/06/01","00:00","1.805","1.58","1.354","0.744","0.772","0.19","-0.24","-0.542","0"
"1909/07/01","00:00","1.866","1.61","1.381","0.763","0.79","0.196","-0.243","-0.603","0"
"1909/08/01","00:00","1.866","1.583","1.391","0.778","0.79","0.193","-0.173","-0.542","0"
"1909/09/01","00:00","1.683","1.558","1.424","0.808","0.815","0.205","-0.063","-0.359","0"
"1909/10/01","00:00","1.805","1.491","1.406","0.775","0.796","0.184","-0.14","-0.572","0"
"1909/11/01","00:00","1.866","1.485","1.336","0.696","0.723","0.113","-0.292","-0.816","0"
"1909/12/01","00:00","2.018","1.656","1.458","0.827","0.854","0.251","-0.197","-0.542","0"
"1910/01/01","00:00","2.018","1.61","1.372","0.754","0.778","0.184","-0.234","-0.511","0"
"1910/02/01","00:00","1.714","1.522","1.305","0.699","0.714","0.126","-0.24","-0.572","0"
"1910/03/01","00:00","1.744","1.519","1.36","0.769","0.781","0.205","-0.109","-0.45","0"
"1910/04/01","00:00","1.805","1.449","1.308","0.705","0.729","0.15","-0.197","-0.511","0"
"1910/05/01","00:00","1.836","1.488","1.296","0.683","0.711","0.126","-0.277","-0.664","0"
"1910/06/01","00:00","1.927","1.58","1.342","0.717","0.741","0.141","-0.301","-0.664","0"
"1910/07/01","00:00","1.836","1.656","1.403","0.781","0.802","0.205","-0.219","-0.694","0"
"1910/08/01","00:00","1.927","1.619","1.409","0.781","0.805","0.202","-0.182","-0.481","0"
"1910/09/01","00:00","1.775","1.555","1.412","0.79","0.808","0.202","-0.109","-0.389","0"
"1910/10/01","00:00","1.897","1.503","1.394","0.769","0.787","0.181","-0.155","-0.45","0"
"1910/11/01","00:00","1.958","1.54","1.372","0.738","0.766","0.156","-0.271","-0.725","0"
"1910/12/01","00:00","1.958","1.598","1.381","0.735","0.766","0.15","-0.325","-0.786","0"
"1911/01/01","00:00","2.11","1.662","1.433","0.808","0.824","0.214","-0.213","-0.664","0"
"1911/02/01","00:00","1.988","1.589","1.4","0.83","0.845","0.287","-0.063","-0.42","0"
"1911/03/01","00:00","1.927","1.558","1.424","0.848","0.863","0.299","0.016","-0.42","0"
"1911/04/01","00:00","1.805","1.473","1.351","0.754","0.775","0.199","-0.115","-0.603","0"
