Year,April_1_SWE_in
1980,12.5
1981,13.2
1982,28.9
1983,44.4
1984,3.5
1985,35.3
1986,3.7
1987,11.5
1988,2.4
1989,17.8
1990,10.9
1991,22.4
1992,18.4
1993,37.9
1994,12.6
1995,41
1996,8.9
1997,0
1998,44.3
1999,17.8
2000,24.1
2001,23.3
2002,24.5
2003,0
2004,23
2005,18.8
2006,31.8
2007,0
2008,32.2
2009,20.4
2010,29.5
2011,57.2
2012,0
2013,0.4
2014,4.9
2015,0
2016,0.4
2017,0
2018,6.7
2019,32
2020,9.1
2021,2
2022,0
2023,46.9
